indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Final consumption expenditure of general government,Finland,"Chain linked volumes, index 2010=100",FIN_GCR_ESTAT,86.279,88.316,90.366,91.536,92.913,94.751,95.805,97.072,98.797,100.207,100,99.944,100.529,101.731,101.508,102.729,103.573,103.744,105.792,108.53,109.005,113.66,112.958,117.664,119.963,NA
Final consumption expenditure of general government,Sweden,"Chain linked volumes, index 2010=100",SWE_GCR_ESTAT,91.018,91.076,93.073,93.426,92.913,93.228,94.676,95.253,96.296,98.63,100,100.768,101.787,103.643,104.816,107.124,111.099,111.334,112.148,112.154,110.404,114.195,114.971,116.147,117.285,NA
Final consumption expenditure of general government,Iceland,"Chain linked volumes, index 2010=100",ISL_GCR_ESTAT,77.942,81.507,85.851,87.269,89.13,93.362,97.615,101.596,106.435,103.036,100,99.813,97.967,98.476,98.31,98.298,99.311,102.058,106.399,110.443,115.806,118.645,120.696,123.548,125.779,NA
Final consumption expenditure of general government,Liechtenstein,"Chain linked volumes, index 2010=100",LIE_GCR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Final consumption expenditure of general government,Norway,"Chain linked volumes, index 2010=100",NOR_GCR_ESTAT,77.993,81.115,84.049,85.071,86.104,87.783,89.718,91.527,93.872,97.854,100,101.093,102.634,103.626,106.413,108.965,111.505,113.608,114.284,115.564,114.965,119.123,121.3,125.373,128.339,NA
Final consumption expenditure of general government,Switzerland,"Chain linked volumes, index 2010=100",CHE_GCR_ESTAT,90.915,91.262,93.137,94.803,95.956,96.775,96.584,97.389,97.919,100.202,100,100.684,100.824,102.537,104.703,105.758,106.539,108.032,108.897,110.091,114.092,117.415,116.75,118.402,119.943,NA
Final consumption expenditure of general government,United Kingdom,"Chain linked volumes, index 2010=100",GBR_GCR_ESTAT,77.041,80.379,83.877,87.009,90.324,93.726,95.294,96.144,98.318,99.31,100,100.964,101.658,101.172,103.211,105.054,106.116,106.892,107.575,111.886,NA,NA,NA,NA,NA,NA
Final consumption expenditure of general government,Bosnia & Herzegovina,"Chain linked volumes, index 2010=100",BIH_GCR_ESTAT,85.826,82.444,82.878,86.968,86.937,88.322,90.97,94.286,97.257,98.352,100,99.102,100.311,100.105,101.599,102.78,102.658,104.086,105.451,106.512,108.141,111.235,112.703,115.096,118.326,NA
Final consumption expenditure of general government,Montenegro,"Chain linked volumes, index 2010=100",MNE_GCR_ESTAT,NA,NA,NA,NA,NA,NA,88.686,98.442,101.126,100.746,100,99.787,102.464,104.017,107.539,111.386,110.687,109.093,115.61,117.53,117.544,115,117.153,120.486,122.454,NA
Final consumption expenditure of general government,North Macedonia,"Chain linked volumes, index 2010=100",MKD_GCR_ESTAT,87.666,118.751,100.038,85.759,85.168,86.139,90.631,94.022,103.59,103.76,100,101.192,103.655,104.16,107.309,111.51,106.057,103.339,104.921,107.499,118.012,119.045,113.907,112.67,113.109,NA
Final consumption expenditure of general government,Albania,"Chain linked volumes, index 2010=100",ALB_GCR_ESTAT,74.664,81.661,85.805,85.092,88.718,87.356,85.222,86.364,92.72,96.181,100,103.234,102.139,104.397,113.052,110.181,118.075,119.229,122.911,134.108,140.027,143.379,146.58,153.028,162.186,NA
Final consumption expenditure of general government,Serbia,"Chain linked volumes, index 2010=100",SRB_GCR_ESTAT,78.134,83.737,87.597,89.421,91.32,87.285,89.969,96.219,99.89,99.214,100,100.321,102.351,99.573,98.663,94.579,92.962,95.088,98.714,102.412,105.687,110.084,111.523,108.837,113.156,NA
Final consumption expenditure of general government,Turkey,"Chain linked volumes, index 2010=100",TUR_GCR_ESTAT,62.372,62.789,66.573,67.102,71.808,74.631,82.464,88.52,91.952,100.195,100,104.626,110.588,118.83,125.054,121.802,134.251,140.655,152.041,158.969,163.367,170.207,177.929,181.934,180.478,NA
Final consumption expenditure of general government,Ukraine,"Chain linked volumes, index 2010=100",UKR_GCR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,97.146,101.532,100.607,101.76,103.509,102.971,108.284,108.2,93.473,92.794,93.551,122.919,134.227,NA,NA
