indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Imports of goods and services,Romania,"Current prices, million units of national currency",ROU_MTN_ESTAT,21781.1,35009.2,45220.4,61349.9,85353.5,99900.6,126521.9,165144,210640.6,172271.1,207063.5,240970.4,253989.6,259931.6,280260.7,300491.6,326997.1,381711.6,431797.8,472375,440250.4,550036.1,698343.3,702009.4,732030.6,NA
Imports of goods and services,Slovenia,"Current prices, million units of national currency",SVN_MTN_ESTAT,10145.4,11163.3,12087.5,13145,15610.4,17599.5,20430,24280.7,25948.1,20251.1,22988,25581.8,25193.4,25304.5,26022.3,26774.1,27929.9,31892.4,35026.5,36448.3,32379.3,40631.5,52519.3,49140.1,50388.6,NA
Imports of goods and services,Slovakia,"Current prices, million units of national currency",SVK_MTN_ESTAT,17598.2,22186.8,23668.2,26054.7,32601.6,38247.5,47170.8,52568.1,56394.7,43953.5,53625.7,60559.2,63450,65703.6,66085.8,71319.6,73823.2,78751.7,84684.3,86868.8,78508.5,92943.1,115445.5,111058,111626,NA
Imports of goods and services,Finland,"Current prices, million units of national currency",FIN_MTN_ESTAT,44840,44130,44790,46640,51350,59791,67273,73017,80201,61871,69705,78565,81144,79842,77858,76048,78497,84877,92749,95278,85029,99176,128484,116698,114669,NA
Imports of goods and services,Sweden,"Current prices, million units of national currency",SWE_MTN_ESTAT,920796,943544,935246,945281,1017834,1136788,1269817,1385231,1485446,1279765,1428222,1518109,1507098,1480287,1599904,1711905,1779717,1928482,2124602,2232631,2014527,2363552,3071049,3220494,3293982,NA
Imports of goods and services,Iceland,"Current prices, million units of national currency",ISL_MTN_ESTAT,276793.5,303211.2,289697,311915.8,368972.9,446778.8,577687.2,580173,673804.3,661533.4,703597.8,824238.7,901866.9,890620.3,935366.7,1016997.6,1025765,1089369.3,1226840.9,1197136.5,1029956.5,1294860.7,1827087.1,1891975.6,2001867.3,NA
Imports of goods and services,Liechtenstein,"Current prices, million units of national currency",LIE_MTN_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Imports of goods and services,Norway,"Current prices, million units of national currency",NOR_MTN_ESTAT,433117,441391,423072,432796,492839,539747,603443,684084,749070,674682,731822,785023,811741,868739,929869,997172,1033859,1075905,1136715,1232127,1147292,1218761,1554171,1655545,1760184,NA
Imports of goods and services,Switzerland,"Current prices, million units of national currency",CHE_MTN_ESTAT,221707.8,224168.4,210879.1,210222.7,224734.1,255303.1,278720.6,309231.9,333434.9,315569,348852.3,380031.7,382407.2,408132.1,370059,360989.9,390355.8,398759.8,411126.7,416204.8,410884.2,446078.3,502240.5,495662.7,505134.6,NA
Imports of goods and services,United Kingdom,"Current prices, million units of national currency",GBR_MTN_ESTAT,295688,312715,319641,328657,347275,383055,432404,423706,464527,433622,484826,525727,534507,556796,554257,551638,599361,652757,687088,716744,NA,NA,NA,NA,NA,NA
Imports of goods and services,Bosnia & Herzegovina,"Current prices, million units of national currency",BIH_MTN_ESTAT,7502.4,8109.8,8333.7,8834.1,9483.1,10597.1,10745,12728.3,15136.7,12086.3,13005.3,14637.1,14630.8,14510.9,15475,15383.6,15839.3,17911.8,19159.3,19494.2,16644.8,21105.8,28236.7,27806.2,29057.1,NA
Imports of goods and services,Montenegro,"Current prices, million units of national currency",MNE_MTN_ESTAT,NA,NA,NA,NA,NA,NA,1680,2305.7,2880.5,1948.8,1939.5,2082.4,2109.4,2065.5,2074.2,2219.5,2494,2773.1,3112.1,3217.9,2553.6,3081.9,4405.4,4777,5060.5,NA
Imports of goods and services,North Macedonia,"Current prices, million units of national currency",MKD_MTN_ESTAT,117394.3,106710.5,116962.9,116648,140859.5,157410.6,183359.1,231103.4,283558.7,225436,254031.1,306676.9,311947.4,308465.9,342301.5,363099.3,389719.9,426440.9,481384.1,527604,471640.3,592875.3,761911.6,725910.9,719648.8,NA
Imports of goods and services,Albania,"Current prices, million units of national currency",ALB_MTN_ESTAT,217213.6,254440.1,290469.7,312933.2,330688.4,384867.2,428141.8,530598.3,563565.3,570299.7,602020.6,676025.7,634054.3,633949.8,658512,638748.8,674866,722979.9,740394.8,760932.3,612382.1,829872.7,1021147.9,1038713.3,1086936.9,NA
Imports of goods and services,Serbia,"Current prices, million units of national currency",SRB_MTN_ESTAT,59541.4,310998.3,405448,492299.2,749278.6,839068.5,1041055.2,1219236.2,1461096.4,1210846,1445689.5,1654672.7,1890780.1,1981010.1,2086676.9,2253242.1,2407506,2705268.8,3008524.9,3323096.7,3125284.7,3945739.2,5309763.1,5239376.8,5667760.6,NA
Imports of goods and services,Turkey,"Current prices, million units of national currency",TUR_MTN_ESTAT,38549.1,56122.8,82878.8,109696,146986.3,165208.8,210018,230699.9,270873.6,235958.1,298168,426475.1,450968.9,525071.1,587554.5,626041.8,663755.9,932731.6,1183711.5,1300743.3,1627343.6,2568769.2,6399627.7,9148685,12052186.9,NA
Imports of goods and services,Ukraine,"Current prices, million units of national currency",UKR_MTN_ESTAT,97643,104061,107413,138808,183366,214567,259696,351192,504446,421882,551402,733526,791844,764730,826764,1097854,1341115,1666806,1921302,1959945,1702946,2289881,2721793,3261563,NA,NA
